'bout,ˈbaʊt,,,
'cause,kəz,,,
'course,ˈkɔɹs,,,
'cuse,ˈkjuz,,,
'em,əm,,,
'frisco,ˈfɹɪskoʊ,,,
'gain,ˈɡɛn,,,
'kay,ˈkeɪ,,,
'm,əm,,,
'n,ən,,,
'round,ˈɹaʊnd,,,
's,ˈɛs,,,
'til,ˈtɪl,,,
'tis,ˈtɪz,,,
'twas,ˈtwʌz,,,
a,ˈeɪ,ə,,
a.,ˈeɪ,,,
a.'s,ˈeɪz,,,
a.d.,ˌeɪˈdi,,,
a.m.,ˌeɪˈɛm,,,
a.s,ˈeɪz,,,
a's,ˈeɪz,,,
aaa,ˌtɹɪpəˈleɪ,,,
aaberg,ˈɑbɚɡ,,,
aachen,ˈɑkən,,,
aachener,ˈɑkənɚ,,,
aaker,ˈɑkɚ,,,
aaliyah,ˌɑˈliˌɑ,,,
aalseth,ˈɑlsɛθ,,,
aamodt,ˈɑmət,,,
aancor,ˈɑnˌkɔɹ,,,
aardema,ɑɹˈdɛmə,,,
aardvark,ˈɑɹdˌvɑɹk,,,
aardvarks,ˈɑɹdˌvɑɹks,,,
aargh,ˈɑɹɡ,,,
aarhus,ˌɑˈhus,,,
aaron,ˈɛɹən,,,
aaron's,ˈɛɹənz,,,
aarons,ˈɛɹənz,,,
aaronson,ˈɑɹənsən,ˈɛɹənsən,,
aaronson's,ˈɑɹənsənz,ˈɛɹənsənz,,
aarti,ˈɑɹˌti,,,
aase,ˈɑs,,,
aasen,ˈɑsən,,,
ab,ˈæb,ˈeɪˈbi,,
aba,ˌeɪˌbiˈeɪ,,,
ababa,ˈɑbəbə,əˈbɑbə,,
abacha,ˈæbəkə,,,
aback,əˈbæk,,,
abaco,ˈæbəˌkoʊ,,,
abacus,ˈæbəkəs,,,
abad,əˈbɑd,,,
abadaka,əˈbædəkə,,,
abadi,əˈbædi,,,
abadie,əˈbædi,,,
abair,əˈbɛɹ,,,
abalkin,əˈbɑlkɪn,,,
abalone,ˌæbəˈloʊni,,,
abalones,ˌæbəˈloʊniz,,,
abalos,ɑˈbɑloʊz,,,
abandon,əˈbændən,,,
abandoned,əˈbændənd,,,
abandoning,əˈbændənɪŋ,,,
abandonment,əˈbændənmənt,,,
abandonments,əˈbændənmənts,,,
abandons,əˈbændənz,,,
abanto,əˈbæntoʊ,,,
abarca,əˈbɑɹkə,,,
abare,ɑˈbɑɹi,,,
abascal,ˈæbəskəl,,,
abash,əˈbæʃ,,,
abashed,əˈbæʃt,,,
abasia,əˈbeɪʒjə,,,
abate,əˈbeɪt,,,
abated,əˈbeɪtɪd,,,
abatement,əˈbeɪtmənt,,,
abatements,əˈbeɪtmənts,,,
abates,əˈbeɪts,,,
abating,əˈbeɪtɪŋ,,,
abattoir,ˌæbətˈwɑɹ,,,
abba,ˈæbə,,,
abbado,əˈbɑdoʊ,,,
abbas,əˈbɑs,,,
abbasi,ɑˈbɑsi,,,
abbate,ˈɑbeɪt,,,
abbatiello,ɑbɑtiˈɛloʊ,,,
abbe,ˈæbi,æˈbeɪ,,
abbenhaus,ˈæbənˌhaʊs,,,
abbett,əˈbɛt,,,
abbeville,ˈæbvɪl,,,
abbey,ˈæbi,,,
abbey's,ˈæbiz,,,
abbie,ˈæbi,,,
abbitt,ˈæbɪt,,,
abbot,ˈæbət,,,
abbotstown,ˈæbətˈstaʊn,,,
abbott,ˈæbət,,,
abbott's,ˈæbəts,,,
abbottstown,ˈæbətˈstaʊn,,,
abboud,əˈbaʊd,əˈbud,,
abbreviate,əˈbɹiviˌeɪt,,,
abbreviated,əˈbɹiviˌeɪtɪd,,,
abbreviates,əˈbɹiviˌeɪts,,,
abbreviating,əˈbɹiviˌeɪtɪŋ,,,
abbreviation,əˌbɹiviˈeɪʃən,,,
abbreviations,əˌbɹiviˈeɪʃənz,,,
abbruzzese,ɑbɹutˈseɪzi,,,
abbs,ˈæbz,,,
abby,ˈæbi,,,
abc,ˈeɪˌbiˌsi,,,
abc's,ˈeɪˌbiˌsiz,,,
abco,ˈæbkoʊ,,,
abcotek,ˈæbkoʊˌtɛk,,,
abcs,ˈeɪˌbiˌsiz,,,
abd,ˌeɪˌbiˈdi,,,
abdalla,ˌæbˈdælə,,,
abdallah,ˌæbˈdælə,,,
abdel,ˈæbˌdɛl,,,
abdella,ˌæbˈdɛlə,,,
abdicate,ˈæbdəˌkeɪt,,,
abdicated,ˈæbdəˌkeɪtɪd,,,
abdicates,ˈæbdəˌkeɪts,,,
abdicating,ˈæbdɪˌkeɪtɪŋ,,,
abdication,ˌæbdɪˈkeɪʃən,,,
abdnor,ˈæbdnɚ,,,
abdo,ˈæbdoʊ,,,
abdollah,ˌæbˈdɑlə,,,
abdomen,ˈæbdəmən,æbˈdoʊmən,,
abdominal,æbˈdɑmənəl,əbˈdɑmənəl,,
abduct,æbˈdʌkt,,,
abducted,æbˈdʌktɪd,əbˈdʌktɪd,,
abductee,æbˌdʌkˈti,,,
abductees,æbˌdʌkˈtiz,,,
abducting,æbˈdʌktɪŋ,əbˈdʌktɪŋ,,
abduction,æbˈdʌkʃən,əbˈdʌkʃən,,
abductions,æbˈdʌkʃənz,əbˈdʌkʃənz,,
abductor,æbˈdʌktɚ,əbˈdʌktɚ,,
abductors,æbˈdʌktɚz,əbˈdʌktɚz,,
abducts,æbˈdʌkts,,,
abdul,æbˈdul,,,
abdulaziz,æbˌduləˈziz,,,
abdulla,ɑbˈdulə,,,
abdullah,ˌæbˈdʌlə,,,
abe,ˈeɪb,,,
abed,əˈbɛd,,,
abedi,əˈbɛdi,,,
abee,əˈbi,,,
abel,ˈeɪbəl,,,
abela,ɑˈbɛlə,,,
abelard,ˈæbɪlɚd,,,
abele,əˈbɛl,,,
abeles,ˈeɪbəˌliz,əˈbɛlz,,
abell,ˈeɪbəl,,,
abella,əˈbɛlə,,,
abeln,ˈæbɪln,,,
abelow,ˈæbəloʊ,,,
abels,ˈeɪbəlz,,,
abelson,ˈæbɪlsən,,,
abend,ˈæbɛnd,əˈbɛnd,,
abendroth,ˈæbɪndɹɔθ,,,
aber,ˈeɪbɚ,,,
abercrombie,ˌæbɚˈkɹɑmbi,,,
aberdeen,ˈæbɚˌdin,,,
aberford,ˈeɪbɚfɚd,,,
aberg,ˈæbɚɡ,,,
aberle,ˈæbɚəl,ˈæbɚl,,
abermin,ˈæbɚmɪn,,,
abernathy,ˈæbɚˌnæθi,,,
abernethy,ˈæbɚˌnɛθi,,,
aberrant,æˈbɛɹənt,,,
aberration,ˌæbɚˈeɪʃən,,,
aberrational,ˌæbɚˈeɪʃənəl,,,
aberrations,ˌæbɚˈeɪʃənz,,,
abert,ˈæbɚt,,,
abet,əˈbɛt,,,
abetted,əˈbɛtɪd,,,
abetting,əˈbɛtɪŋ,,,
abex,ˈeɪbɛks,,,
abeyance,əˈbeɪəns,,,
