'bout,ˈbaʊt,,,
'cause,kʰəz,,,
'course,ˈkʰɔɹs,,,
'cuse,ˈkʰjuz,,,
'em,ə̃m,,,
'frisco,ˈfɹɪskoʊ,,,
'gain,ˈɡɛ̃n,,,
'kay,ˈkʰeɪ,,,
'm,ə̃m,,,
'n,ə̃n,,,
'round,ˈɹaʊ̃nd,,,
's,ˈɛs,,,
'til,ˈtʰɪl̴,,,
'tis,ˈtʰɪz,,,
'twas,ˈtʰwʌz,,,
a,ˈeɪ,ə,,
a.,ˈeɪ,,,
a.'s,ˈeɪz,,,
a.d.,ˌeɪˈdi,,,
a.m.,ˌeɪˈɛ̃m,,,
a.s,ˈeɪz,,,
a's,ˈeɪz,,,
aaa,ˌtʰɹɪpəˈleɪ,,,
aaberg,ˈɑbɚɡ,,,
aachen,ˈɑkə̃n,,,
aachener,ˈɑkə̃nɚ,,,
aaker,ˈɑkɚ,,,
aaliyah,ˌɑˈliˌɑ,,,
aalseth,ˈɑl̴sɛθ,,,
aamodt,ˈɑ̃mət,,,
aancor,ˈɑ̃nˌkʰɔɹ,,,
aardema,ɑɹˈdɛ̃mə,,,
aardvark,ˈɑɹdˌvɑɹk,,,
aardvarks,ˈɑɹdˌvɑɹks,,,
aargh,ˈɑɹɡ,,,
aarhus,ˌɑˈhus,,,
aaron,ˈɛɹə̃n,,,
aaron's,ˈɛɹə̃nz,,,
aarons,ˈɛɹə̃nz,,,
aaronson,ˈɑɹə̃nsə̃n,ˈɛɹə̃nsə̃n,,
aaronson's,ˈɑɹə̃nsə̃nz,ˈɛɹə̃nsə̃nz,,
aarti,ˈɑɹˌtʰi,,,
aase,ˈɑs,,,
aasen,ˈɑsə̃n,,,
ab,ˈæb,ˈeɪˈbi,,
aba,ˌeɪˌbiˈeɪ,,,
ababa,ˈɑbəbə,əˈbɑbə,,
abacha,ˈæbəkə,,,
aback,əˈbæk,,,
abaco,ˈæbəˌkʰoʊ,,,
abacus,ˈæbəkəs,,,
abad,əˈbɑd,,,
abadaka,əˈbæɾəkə,,,
abadi,əˈbæɾi,,,
abadie,əˈbæɾi,,,
abair,əˈbɛɹ,,,
abalkin,əˈbɑl̴kɪ̃n,,,
abalone,ˌæbəˈloʊ̃ni,,,
abalones,ˌæbəˈloʊ̃niz,,,
abalos,ɑˈbɑloʊz,,,
abandon,əˈbæ̃ndə̃n,,,
abandoned,əˈbæ̃ndə̃nd,,,
abandoning,əˈbæ̃ndə̃nɪ̃ŋ,,,
abandonment,əˈbæ̃ndə̃nmə̃nt,,,
abandonments,əˈbæ̃ndə̃nmə̃nts,,,
abandons,əˈbæ̃ndə̃nz,,,
abanto,əˈbæ̃ntoʊ,,,
abarca,əˈbɑɹkə,,,
abare,ɑˈbɑɹi,,,
abascal,ˈæbəskəl̴,,,
abash,əˈbæʃ,,,
abashed,əˈbæʃt,,,
abasia,əˈbeɪʒjə,,,
abate,əˈbeɪt,,,
abated,əˈbeɪɾɪd,,,
abatement,əˈbeɪʔmə̃nt,,,
abatements,əˈbeɪʔmə̃nts,,,
abates,əˈbeɪts,,,
abating,əˈbeɪɾɪ̃ŋ,,,
abattoir,ˌæbətˈwɑɹ,,,
abba,ˈæbə,,,
abbado,əˈbɑɾoʊ,,,
abbas,əˈbɑs,,,
abbasi,ɑˈbɑsi,,,
abbate,ˈɑbeɪt,,,
abbatiello,ɑbɑɾiˈɛloʊ,,,
abbe,ˈæbi,æˈbeɪ,,
abbenhaus,ˈæbə̃nˌhaʊs,,,
abbett,əˈbɛt,,,
abbeville,ˈæbvɪl̴,,,
abbey,ˈæbi,,,
abbey's,ˈæbiz,,,
abbie,ˈæbi,,,
abbitt,ˈæbɪt,,,
abbot,ˈæbət,,,
abbotstown,ˈæbətˈstaʊ̃n,,,
abbott,ˈæbət,,,
abbott's,ˈæbəts,,,
abbottstown,ˈæbətˈstaʊ̃n,,,
abboud,əˈbaʊd,əˈbud,,
abbreviate,əˈbɹiviˌeɪt,,,
abbreviated,əˈbɹiviˌeɪɾɪd,,,
abbreviates,əˈbɹiviˌeɪts,,,
abbreviating,əˈbɹiviˌeɪɾɪ̃ŋ,,,
abbreviation,əˌbɹiviˈeɪʃə̃n,,,
abbreviations,əˌbɹiviˈeɪʃə̃nz,,,
abbruzzese,ɑbɹutˈseɪzi,,,
abbs,ˈæbz,,,
abby,ˈæbi,,,
abc,ˈeɪˌbiˌsi,,,
abc's,ˈeɪˌbiˌsiz,,,
abco,ˈæbkoʊ,,,
abcotek,ˈæbkoʊˌtʰɛk,,,
abcs,ˈeɪˌbiˌsiz,,,
abd,ˌeɪˌbiˈdi,,,
abdalla,ˌæbˈdælə,,,
abdallah,ˌæbˈdælə,,,
abdel,ˈæbˌdɛl̴,,,
abdella,ˌæbˈdɛlə,,,
abdicate,ˈæbdəˌkʰeɪt,,,
abdicated,ˈæbdəˌkʰeɪɾɪd,,,
abdicates,ˈæbdəˌkʰeɪts,,,
abdicating,ˈæbdɪˌkʰeɪɾɪ̃ŋ,,,
abdication,ˌæbdɪˈkʰeɪʃə̃n,,,
abdnor,ˈæbdnɚ,,,
abdo,ˈæbdoʊ,,,
abdollah,ˌæbˈdɑlə,,,
abdomen,ˈæbdə̃mə̃n,æbˈdoʊ̃mə̃n,,
abdominal,æbˈdɑ̃mə̃nəl̴,əbˈdɑ̃mə̃nəl̴,,
abduct,æbˈdʌkt,,,
abducted,æbˈdʌktɪd,əbˈdʌktɪd,,
abductee,æbˌdʌkˈtʰi,,,
abductees,æbˌdʌkˈtʰiz,,,
abducting,æbˈdʌktɪ̃ŋ,əbˈdʌktɪ̃ŋ,,
abduction,æbˈdʌkʃə̃n,əbˈdʌkʃə̃n,,
abductions,æbˈdʌkʃə̃nz,əbˈdʌkʃə̃nz,,
abductor,æbˈdʌktɚ,əbˈdʌktɚ,,
abductors,æbˈdʌktɚz,əbˈdʌktɚz,,
abducts,æbˈdʌkts,,,
abdul,æbˈdul̴,,,
abdulaziz,æbˌduləˈziz,,,
abdulla,ɑbˈdulə,,,
abdullah,ˌæbˈdʌlə,,,
abe,ˈeɪb,,,
abed,əˈbɛd,,,
abedi,əˈbɛɾi,,,
abee,əˈbi,,,
abel,ˈeɪbəl̴,,,
abela,ɑˈbɛlə,,,
abelard,ˈæbɪlɚd,,,
abele,əˈbɛl̴,,,
abeles,ˈeɪbəˌliz,əˈbɛl̴z,,
abell,ˈeɪbəl̴,,,
abella,əˈbɛlə,,,
abeln,ˈæbɪl̴n,,,
abelow,ˈæbəloʊ,,,
abels,ˈeɪbəl̴z,,,
abelson,ˈæbɪl̴sə̃n,,,
abend,ˈæbɛ̃nd,əˈbɛ̃nd,,
abendroth,ˈæbɪ̃ndɹɔθ,,,
aber,ˈeɪbɚ,,,
abercrombie,ˌæbɚˈkʰɹɑ̃mbi,,,
aberdeen,ˈæbɚˌdĩn,,,
aberford,ˈeɪbɚfɚd,,,
